step,T,C,coolant_flow,feed_rate
0,229697.96553407074,-0.10691482767035376,0.2,0.3
1,215062.11800380037,0.031089409980998094,0.2,0.8
2,226983.31895771695,0.03630840521141512,0.2,0.8
3,239909.37589645362,0.03650312051773185,0.2,0.8
4,252873.41664653143,0.03650791676734292,0.2,0.8
5,265838.84900349355,0.03650575498253238,0.2,0.8
6,278804.29059430194,0.0365035470284903,0.2,0.8
7,291769.6946289968,0.036501526855016134,0.2,0.8
8,304735.0641745725,0.0364996791271376,0.2,0.8
9,317700.4034069508,0.03649798296524584,0.2,0.8
10,330665.7159062635,0.03649642046868241,0.2,0.8
11,343631.0047123107,0.03649497643844647,0.2,0.8
12,356596.27242097945,0.036493637895102515,0.2,0.8
13,369561.5212623439,0.03649239368828036,0.2,0.8
14,382526.75316290127,0.0364912341854938,0.2,0.8
15,395491.9697955239,0.03649015102238051,0.2,0.8
16,408457.17261986365,0.036489136900682076,0.2,0.8
17,421422.36291527044,0.036488185423648165,0.2,0.8
18,434387.5418077962,0.03648729096101924,0.2,0.8
19,447352.71029248653,0.03648644853756755,0.2,0.8
20,460317.8692518928,0.036485653740536396,0.2,0.8
21,473283.01947153156,0.03648490264234254,0.2,0.8
22,486248.16165286326,0.036484191735683985,0.2,0.8
23,499213.29642424185,0.03648351787879109,0.2,0.8
24,512178.42435019644,0.03648287824901829,0.2,0.8
25,525143.5459393339,0.03648227030333087,0.2,0.8
26,538108.661651096,0.036481691744520456,0.2,0.8
27,551073.7719015594,0.03648114049220324,0.2,0.8
28,564038.8770684343,0.036480614657829216,0.2,0.8
29,577003.9774953861,0.03648011252306987,0.2,0.8
30,589969.0734957876,0.03647963252106319,0.2,0.8
31,602934.1653559832,0.03647917322008489,0.2,0.8
32,615899.2533381428,0.03647873330928729,0.2,0.8
33,628864.3376827589,0.03647831158620681,0.2,0.8
34,641829.4186108423,0.03647790694578937,0.2,0.8
35,654794.4963258557,0.036477518370722765,0.2,0.8
36,667759.5710154207,0.036477144922897935,0.2,0.8
37,680724.6428528306,0.03647678573584842,0.2,0.8
38,693689.7119983924,0.0364764400080395,0.2,0.8
39,706654.7786006207,0.036476106996897906,0.2,0.8
40,719619.8427973026,0.03647578601348822,0.2,0.8
41,732584.9047164491,0.036475476417756,0.2,0.8
42,745549.9644771467,0.036475177614268134,0.2,0.8
43,758515.0221903222,0.036474889048391114,0.2,0.8
44,771480.0779594292,0.03647461020285542,0.2,0.8
45,784445.1318810681,0.03647434059466132,0.2,0.8
46,797410.184045543,0.03647407977228716,0.2,0.8
47,810375.2345373671,0.036473827313166125,0.2,0.8
48,823340.28343572,0.036473582821401965,0.2,0.8
49,836305.330814861,0.03647334592569751,0.2,0.8
50,849270.3767445058,0.036473116277473364,0.2,0.8
51,862235.4212901691,0.036472893549156615,0.2,0.8
52,875200.464513476,0.036472677432621996,0.2,0.8
53,888165.5064724465,0.036472467637769714,0.2,0.8
54,901130.5472217551,0.036472263891226396,0.2,0.8
55,914095.5868129691,0.03647206593515673,0.2,0.8
56,927060.6252947655,0.03647187352617498,0.2,0.8
57,940025.662713131,0.03647168643434677,0.2,0.8
58,952990.6991115459,0.0364715044422725,0.2,0.8
59,965955.7345311515,0.036471327344244645,0.2,0.8
60,978920.769010906,0.03647115494547219,0.2,0.8
61,991885.8025877273,0.036470987061366,0.2,0.8
62,1004850.8352966246,0.036470823516879525,0.2,0.8
63,1017815.8671708205,0.03647066414590004,0.2,0.8
64,1030780.8982418632,0.03647050879068593,0.2,0.8
65,1043745.9285397313,0.036470357301345895,0.2,0.8
66,1056710.9580929293,0.03647020953535661,0.2,0.8
67,1069675.9869285775,0.03647006535711553,0.2,0.8
68,1082641.0150724954,0.0364699246375258,0.2,0.8
69,1095606.0425492786,0.03646978725361079,0.2,0.8
70,1108571.0693823695,0.03646965308815561,0.2,0.8
71,1121536.095594126,0.03646952202937366,0.2,0.8
72,1134501.1212058817,0.036469393970595884,0.2,0.8
73,1147466.1462380046,0.03646926880998134,0.2,0.8
74,1160431.1707099515,0.03646914645024703,0.2,0.8
75,1173396.194640318,0.03646902679841576,0.2,0.8
76,1186361.218046885,0.03646890976558052,0.2,0.8
77,1199326.2409466642,0.03646879526668419,0.2,0.8
78,1212291.2633559383,0.036468683220313346,0.2,0.8
79,1225256.2852902997,0.03646857354850526,0.2,0.8
80,1238221.3067646874,0.03646846617656699,0.2,0.8
81,1251186.3277934196,0.03646836103290571,0.2,0.8
82,1264151.3483902267,0.036468258048869565,0.2,0.8
83,1277116.368568281,0.03646815715859815,0.2,0.8
84,1290081.3883402243,0.03646805829888211,0.2,0.8
85,1303046.4077181946,0.03646796140903105,0.2,0.8
86,1316011.426713851,0.03646786643074928,0.2,0.8
87,1328976.445338397,0.03646777330801888,0.2,0.8
88,1341941.463602603,0.03646768198698955,0.2,0.8
89,1354906.481516826,0.0364675924158747,0.2,0.8
90,1367871.4990910303,0.036467504544853625,0.2,0.8
91,1380836.5163348054,0.036467418325979,0.2,0.8
92,1393801.5332573834,0.03646733371308973,0.2,0.8
93,1406766.5498676556,0.03646725066172847,0.2,0.8
94,1419731.5661741884,0.03646716912906379,0.2,0.8
95,1432696.582185238,0.03646708907381649,0.2,0.8
96,1445661.5979087632,0.036467010456189934,0.2,0.8
97,1458626.6133524403,0.03646693323780406,0.2,0.8
98,1471591.6285236746,0.03646685738163294,0.2,0.8
99,1484556.643429612,0.036466782851945545,0.2,0.8
100,1497521.6580771513,0.036466709614249665,0.2,0.8
101,1510486.6724729536,0.03646663763523864,0.2,0.8
102,1523451.6866234532,0.03646656688274091,0.2,0.8
